feature,mean_abs_shap
Destination Port,0.019957401409604655
Total Length of Bwd Packets,0.015951442010195174
Avg Bwd Segment Size,0.015157223778597882
Average Packet Size,0.013390606221689133
Max Packet Length,0.013345199328762452
Init_Win_bytes_backward,0.010170082840181123
Subflow Bwd Bytes,0.01001768065371614
Bwd Packet Length Std,0.009853897456794686
Fwd Packet Length Max,0.00972095798566288
Packet Length Variance,0.008935367274315476
Bwd Packet Length Mean,0.008641394074228764
Bwd Packet Length Max,0.0075498798468727
Packet Length Std,0.006400071125891558
Packet Length Mean,0.005860298191531077
Avg Fwd Segment Size,0.005578731687139427
Subflow Fwd Bytes,0.005503146206895773
Bwd Packets/s,0.005277551362702618
PSH Flag Count,0.005082969850028317
Init_Win_bytes_forward,0.004930806692738851
Total Length of Fwd Packets,0.0048796134866457355
Fwd Packet Length Mean,0.004852602441838112
Fwd Header Length,0.00435405038975527
Bwd Header Length,0.004101985819652448
Subflow Bwd Packets,0.003922463232419499
Flow Packets/s,0.0037872222737494053
Total Backward Packets,0.003715992962297195
Fwd Header Length.1,0.00352481978186105
min_seg_size_forward,0.003434138946213125
Fwd IAT Min,0.0034087671921143995
Flow IAT Std,0.0031312761573208873
Fwd IAT Max,0.003021262490513688
Bwd Packet Length Min,0.0030111991258448116
Flow IAT Mean,0.002871556107191433
Subflow Fwd Packets,0.002790875001827283
Flow Bytes/s,0.0026399647422822624
Fwd IAT Std,0.002595222253807013
Bwd IAT Max,0.0024969746285102967
Flow Duration,0.002465576814959445
Fwd Packets/s,0.0024585789071331597
ACK Flag Count,0.0024560987519899992
Fwd IAT Mean,0.002444413002020961
Total Fwd Packets,0.0023992893430809935
act_data_pkt_fwd,0.002242784421609147
Idle Mean,0.0021831468816101217
Bwd IAT Mean,0.0021620529834030303
Bwd IAT Min,0.0021461411553731257
Bwd IAT Total,0.001921948463190466
Fwd Packet Length Min,0.0016606591515319557
Flow IAT Max,0.0016408503387130271
Fwd Packet Length Std,0.0016050035372294797
Bwd IAT Std,0.0014937701105008027
Idle Max,0.0014053591082557515
Idle Min,0.0013997107021985042
Fwd IAT Total,0.0013482571110744917
Min Packet Length,0.0012041199990140737
Flow IAT Min,0.0011280868655434743
URG Flag Count,0.0009343975822181322
Active Std,0.0008908183828907327
Active Max,0.0006793624233668586
Active Mean,0.0005359243482189991
Active Min,0.00044761229031976927
FIN Flag Count,0.00040523590273836745
Down/Up Ratio,0.00035896874308653066
Fwd PSH Flags,0.00025805765625517787
Idle Std,0.000217189746851226
SYN Flag Count,0.00018198728997325612
CWE Flag Count,2.79192493612856e-07
Fwd URG Flags,1.1516584880864826e-07
RST Flag Count,2.699087267078442e-08
ECE Flag Count,4.120233202076971e-09
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
